Energy (eV),Wavelength (um),ep1,ep2,n,k
4.593E+00,2.700E-01,1.255E-01,3.595E+00,1.364E+00,1.318E+00
4.429E+00,2.800E-01,6.453E-01,3.663E+00,1.477E+00,1.240E+00
4.276E+00,2.900E-01,9.800E-01,3.577E+00,1.531E+00,1.168E+00
4.133E+00,3.000E-01,1.757E+00,2.937E+00,1.609E+00,9.126E-01
4.000E+00,3.100E-01,1.616E+00,1.426E+00,1.373E+00,5.192E-01
3.875E+00,3.200E-01,5.597E-01,5.462E-01,8.191E-01,3.334E-01
3.758E+00,3.300E-01,-4.108E-01,2.992E-01,2.207E-01,6.779E-01
3.647E+00,3.400E-01,-1.162E+00,2.403E-01,1.109E-01,1.084E+00
3.543E+00,3.500E-01,-1.791E+00,2.264E-01,8.443E-02,1.341E+00
3.444E+00,3.600E-01,-2.355E+00,2.255E-01,7.339E-02,1.536E+00
3.351E+00,3.699E-01,-2.881E+00,2.286E-01,6.727E-02,1.699E+00
3.263E+00,3.799E-01,-3.387E+00,2.329E-01,6.325E-02,1.841E+00
3.180E+00,3.899E-01,-3.880E+00,2.379E-01,6.035E-02,1.971E+00
3.100E+00,3.999E-01,-4.366E+00,2.432E-01,5.817E-02,2.090E+00
3.024E+00,4.099E-01,-4.850E+00,2.488E-01,5.647E-02,2.203E+00
2.952E+00,4.199E-01,-5.334E+00,2.548E-01,5.515E-02,2.310E+00
2.884E+00,4.299E-01,-5.821E+00,2.612E-01,5.411E-02,2.413E+00
2.818E+00,4.399E-01,-6.310E+00,2.679E-01,5.332E-02,2.513E+00
2.756E+00,4.499E-01,-6.805E+00,2.751E-01,5.271E-02,2.609E+00
2.696E+00,4.599E-01,-7.305E+00,2.826E-01,5.227E-02,2.703E+00
2.638E+00,4.699E-01,-7.811E+00,2.906E-01,5.198E-02,2.795E+00
2.583E+00,4.799E-01,-8.324E+00,2.990E-01,5.181E-02,2.886E+00
2.531E+00,4.899E-01,-8.844E+00,3.079E-01,5.175E-02,2.974E+00
2.480E+00,4.999E-01,-9.372E+00,3.172E-01,5.180E-02,3.062E+00
2.431E+00,5.099E-01,-9.908E+00,3.270E-01,5.193E-02,3.148E+00
2.385E+00,5.199E-01,-1.045E+01,3.373E-01,5.215E-02,3.233E+00
2.340E+00,5.299E-01,-1.100E+01,3.480E-01,5.245E-02,3.318E+00
2.296E+00,5.399E-01,-1.157E+01,3.593E-01,5.282E-02,3.401E+00
2.255E+00,5.499E-01,-1.213E+01,3.711E-01,5.326E-02,3.484E+00
2.214E+00,5.599E-01,-1.271E+01,3.834E-01,5.376E-02,3.566E+00
2.175E+00,5.699E-01,-1.330E+01,3.962E-01,5.431E-02,3.648E+00
2.138E+00,5.799E-01,-1.390E+01,4.096E-01,5.493E-02,3.728E+00
2.102E+00,5.899E-01,-1.450E+01,4.235E-01,5.560E-02,3.809E+00
2.067E+00,5.999E-01,-1.512E+01,4.380E-01,5.632E-02,3.889E+00
2.033E+00,6.099E-01,-1.574E+01,4.531E-01,5.709E-02,3.968E+00
2.000E+00,6.199E-01,-1.638E+01,4.687E-01,5.790E-02,4.048E+00
1.968E+00,6.299E-01,-1.702E+01,4.849E-01,5.876E-02,4.126E+00
1.938E+00,6.399E-01,-1.768E+01,5.017E-01,5.966E-02,4.205E+00
1.908E+00,6.499E-01,-1.834E+01,5.191E-01,6.061E-02,4.283E+00
1.879E+00,6.599E-01,-1.901E+01,5.372E-01,6.159E-02,4.361E+00
1.851E+00,6.699E-01,-1.969E+01,5.558E-01,6.262E-02,4.438E+00
1.824E+00,6.799E-01,-2.039E+01,5.751E-01,6.368E-02,4.516E+00
1.797E+00,6.899E-01,-2.109E+01,5.950E-01,6.478E-02,4.593E+00
1.771E+00,6.999E-01,-2.180E+01,6.156E-01,6.591E-02,4.669E+00
1.747E+00,7.099E-01,-2.252E+01,6.368E-01,6.708E-02,4.746E+00
1.722E+00,7.199E-01,-2.325E+01,6.586E-01,6.829E-02,4.823E+00
1.699E+00,7.299E-01,-2.399E+01,6.812E-01,6.953E-02,4.899E+00
1.676E+00,7.399E-01,-2.474E+01,7.044E-01,7.080E-02,4.975E+00
1.653E+00,7.499E-01,-2.550E+01,7.283E-01,7.210E-02,5.051E+00
1.632E+00,7.599E-01,-2.627E+01,7.529E-01,7.344E-02,5.126E+00
1.610E+00,7.699E-01,-2.706E+01,7.782E-01,7.480E-02,5.202E+00
1.590E+00,7.799E-01,-2.785E+01,8.043E-01,7.620E-02,5.278E+00
1.570E+00,7.899E-01,-2.865E+01,8.310E-01,7.762E-02,5.353E+00
1.550E+00,7.999E-01,-2.946E+01,8.585E-01,7.908E-02,5.428E+00
1.531E+00,8.099E-01,-3.028E+01,8.867E-01,8.057E-02,5.503E+00
1.512E+00,8.199E-01,-3.111E+01,9.157E-01,8.208E-02,5.578E+00
1.494E+00,8.299E-01,-3.195E+01,9.454E-01,8.362E-02,5.653E+00
1.476E+00,8.399E-01,-3.280E+01,9.759E-01,8.519E-02,5.728E+00
1.459E+00,8.499E-01,-3.366E+01,1.007E+00,8.679E-02,5.802E+00
1.442E+00,8.599E-01,-3.453E+01,1.039E+00,8.841E-02,5.877E+00
1.425E+00,8.699E-01,-3.541E+01,1.072E+00,9.007E-02,5.951E+00
1.409E+00,8.799E-01,-3.630E+01,1.106E+00,9.174E-02,6.026E+00
1.393E+00,8.899E-01,-3.720E+01,1.140E+00,9.345E-02,6.100E+00
1.378E+00,8.999E-01,-3.811E+01,1.175E+00,9.518E-02,6.174E+00
1.363E+00,9.099E-01,-3.903E+01,1.211E+00,9.694E-02,6.248E+00
1.348E+00,9.199E-01,-3.996E+01,1.248E+00,9.872E-02,6.322E+00
1.333E+00,9.299E-01,-4.090E+01,1.286E+00,1.005E-01,6.396E+00
1.319E+00,9.399E-01,-4.185E+01,1.325E+00,1.024E-01,6.470E+00
1.305E+00,9.499E-01,-4.281E+01,1.364E+00,1.042E-01,6.544E+00
1.292E+00,9.599E-01,-4.378E+01,1.404E+00,1.061E-01,6.618E+00
1.278E+00,9.698E-01,-4.476E+01,1.446E+00,1.080E-01,6.691E+00
1.265E+00,9.799E-01,-4.575E+01,1.488E+00,1.100E-01,6.765E+00
1.253E+00,9.899E-01,-4.675E+01,1.531E+00,1.119E-01,6.838E+00
1.240E+00,9.999E-01,-4.776E+01,1.575E+00,1.139E-01,6.912E+00
1.228E+00,1.010E+00,-4.878E+01,1.619E+00,1.159E-01,6.985E+00
1.216E+00,1.020E+00,-4.981E+01,1.665E+00,1.179E-01,7.059E+00
1.204E+00,1.030E+00,-5.085E+01,1.712E+00,1.200E-01,7.132E+00
1.192E+00,1.040E+00,-5.190E+01,1.759E+00,1.221E-01,7.206E+00
1.181E+00,1.050E+00,-5.297E+01,1.808E+00,1.242E-01,7.279E+00
1.170E+00,1.060E+00,-5.404E+01,1.857E+00,1.263E-01,7.352E+00
1.159E+00,1.070E+00,-5.512E+01,1.908E+00,1.285E-01,7.425E+00
1.148E+00,1.080E+00,-5.621E+01,1.959E+00,1.306E-01,7.498E+00
1.138E+00,1.090E+00,-5.731E+01,2.011E+00,1.328E-01,7.571E+00
1.127E+00,1.100E+00,-5.842E+01,2.065E+00,1.351E-01,7.645E+00
1.117E+00,1.110E+00,-5.954E+01,2.119E+00,1.373E-01,7.718E+00
1.107E+00,1.120E+00,-6.067E+01,2.174E+00,1.396E-01,7.791E+00
1.097E+00,1.130E+00,-6.181E+01,2.231E+00,1.419E-01,7.863E+00
1.088E+00,1.140E+00,-6.296E+01,2.288E+00,1.442E-01,7.936E+00
1.078E+00,1.150E+00,-6.413E+01,2.347E+00,1.465E-01,8.009E+00
1.069E+00,1.160E+00,-6.530E+01,2.406E+00,1.489E-01,8.082E+00
1.060E+00,1.170E+00,-6.648E+01,2.467E+00,1.513E-01,8.155E+00
1.051E+00,1.180E+00,-6.767E+01,2.528E+00,1.537E-01,8.228E+00
1.042E+00,1.190E+00,-6.887E+01,2.591E+00,1.561E-01,8.300E+00
1.033E+00,1.200E+00,-7.008E+01,2.655E+00,1.585E-01,8.373E+00
1.025E+00,1.210E+00,-7.130E+01,2.720E+00,1.610E-01,8.446E+00
1.016E+00,1.220E+00,-7.253E+01,2.785E+00,1.635E-01,8.518E+00
1.008E+00,1.230E+00,-7.378E+01,2.853E+00,1.660E-01,8.591E+00
1.000E+00,1.240E+00,-7.503E+01,2.921E+00,1.686E-01,8.664E+00
9.920E-01,1.250E+00,-7.629E+01,2.990E+00,1.711E-01,8.736E+00
9.841E-01,1.260E+00,-7.756E+01,3.060E+00,1.737E-01,8.809E+00
9.777E-01,1.268E+00,-7.863E+01,3.120E+00,1.759E-01,8.869E+00
9.764E-01,1.270E+00,-7.884E+01,3.132E+00,1.763E-01,8.881E+00
9.700E-01,1.278E+00,-7.992E+01,3.192E+00,1.785E-01,8.942E+00
9.688E-01,1.280E+00,-8.014E+01,3.205E+00,1.790E-01,8.954E+00
9.624E-01,1.288E+00,-8.124E+01,3.267E+00,1.812E-01,9.015E+00
9.612E-01,1.290E+00,-8.144E+01,3.278E+00,1.816E-01,9.026E+00
9.547E-01,1.299E+00,-8.260E+01,3.344E+00,1.840E-01,9.090E+00
9.539E-01,1.300E+00,-8.275E+01,3.353E+00,1.843E-01,9.099E+00
9.471E-01,1.309E+00,-8.398E+01,3.424E+00,1.868E-01,9.166E+00
9.466E-01,1.310E+00,-8.407E+01,3.429E+00,1.870E-01,9.171E+00
9.394E-01,1.320E+00,-8.540E+01,3.507E+00,1.897E-01,9.243E+00
9.394E-01,1.320E+00,-8.540E+01,3.507E+00,1.897E-01,9.243E+00
9.337E-01,1.328E+00,-8.649E+01,3.570E+00,1.919E-01,9.302E+00
9.323E-01,1.330E+00,-8.675E+01,3.585E+00,1.924E-01,9.316E+00
9.260E-01,1.339E+00,-8.797E+01,3.657E+00,1.949E-01,9.381E+00
9.254E-01,1.340E+00,-8.810E+01,3.665E+00,1.952E-01,9.388E+00
9.203E-01,1.347E+00,-8.911E+01,3.725E+00,1.973E-01,9.442E+00
9.185E-01,1.350E+00,-8.946E+01,3.746E+00,1.980E-01,9.460E+00
9.126E-01,1.359E+00,-9.066E+01,3.817E+00,2.004E-01,9.524E+00
9.069E-01,1.367E+00,-9.184E+01,3.889E+00,2.029E-01,9.586E+00
8.992E-01,1.379E+00,-9.346E+01,3.987E+00,2.062E-01,9.670E+00
8.935E-01,1.388E+00,-9.470E+01,4.063E+00,2.087E-01,9.734E+00
8.858E-01,1.400E+00,-9.640E+01,4.167E+00,2.122E-01,9.820E+00
8.801E-01,1.409E+00,-9.769E+01,4.248E+00,2.148E-01,9.886E+00
8.744E-01,1.418E+00,-9.902E+01,4.331E+00,2.176E-01,9.953E+00
8.686E-01,1.427E+00,-1.004E+02,4.416E+00,2.203E-01,1.002E+01
8.671E-01,1.430E+00,-1.007E+02,4.438E+00,2.210E-01,1.004E+01
8.629E-01,1.437E+00,-1.017E+02,4.503E+00,2.231E-01,1.009E+01
8.611E-01,1.440E+00,-1.022E+02,4.530E+00,2.240E-01,1.011E+01
8.552E-01,1.450E+00,-1.036E+02,4.623E+00,2.270E-01,1.018E+01
8.552E-01,1.450E+00,-1.036E+02,4.623E+00,2.270E-01,1.018E+01
8.495E-01,1.460E+00,-1.051E+02,4.716E+00,2.300E-01,1.025E+01
8.493E-01,1.460E+00,-1.051E+02,4.718E+00,2.301E-01,1.026E+01
8.437E-01,1.469E+00,-1.065E+02,4.811E+00,2.330E-01,1.032E+01
8.435E-01,1.470E+00,-1.066E+02,4.814E+00,2.331E-01,1.033E+01
8.380E-01,1.480E+00,-1.080E+02,4.909E+00,2.361E-01,1.040E+01
8.378E-01,1.480E+00,-1.081E+02,4.912E+00,2.362E-01,1.040E+01
8.323E-01,1.490E+00,-1.096E+02,5.009E+00,2.392E-01,1.047E+01
8.322E-01,1.490E+00,-1.096E+02,5.010E+00,2.393E-01,1.047E+01
8.284E-01,1.497E+00,-1.106E+02,5.078E+00,2.414E-01,1.052E+01
8.267E-01,1.500E+00,-1.111E+02,5.110E+00,2.424E-01,1.054E+01
8.227E-01,1.507E+00,-1.122E+02,5.184E+00,2.446E-01,1.060E+01
8.212E-01,1.510E+00,-1.126E+02,5.212E+00,2.455E-01,1.062E+01
8.170E-01,1.518E+00,-1.138E+02,5.292E+00,2.480E-01,1.067E+01
8.158E-01,1.520E+00,-1.142E+02,5.315E+00,2.487E-01,1.069E+01
8.112E-01,1.528E+00,-1.155E+02,5.404E+00,2.514E-01,1.075E+01
8.105E-01,1.530E+00,-1.157E+02,5.419E+00,2.518E-01,1.076E+01
8.055E-01,1.539E+00,-1.172E+02,5.519E+00,2.549E-01,1.083E+01
8.052E-01,1.540E+00,-1.172E+02,5.524E+00,2.550E-01,1.083E+01
8.017E-01,1.547E+00,-1.183E+02,5.597E+00,2.572E-01,1.088E+01
8.000E-01,1.550E+00,-1.188E+02,5.631E+00,2.582E-01,1.090E+01
7.959E-01,1.558E+00,-1.201E+02,5.718E+00,2.608E-01,1.096E+01
7.949E-01,1.560E+00,-1.204E+02,5.739E+00,2.615E-01,1.098E+01
7.902E-01,1.569E+00,-1.219E+02,5.841E+00,2.645E-01,1.104E+01
7.898E-01,1.570E+00,-1.220E+02,5.849E+00,2.647E-01,1.105E+01
7.863E-01,1.577E+00,-1.231E+02,5.926E+00,2.670E-01,1.110E+01
7.848E-01,1.580E+00,-1.236E+02,5.960E+00,2.680E-01,1.112E+01
7.806E-01,1.588E+00,-1.249E+02,6.056E+00,2.708E-01,1.118E+01
7.799E-01,1.590E+00,-1.252E+02,6.073E+00,2.713E-01,1.119E+01
7.768E-01,1.596E+00,-1.262E+02,6.145E+00,2.734E-01,1.124E+01
7.750E-01,1.600E+00,-1.268E+02,6.187E+00,2.747E-01,1.126E+01
7.710E-01,1.608E+00,-1.281E+02,6.282E+00,2.774E-01,1.132E+01
7.702E-01,1.610E+00,-1.284E+02,6.302E+00,2.780E-01,1.134E+01
7.672E-01,1.616E+00,-1.294E+02,6.375E+00,2.801E-01,1.138E+01
7.654E-01,1.620E+00,-1.300E+02,6.419E+00,2.814E-01,1.141E+01
7.615E-01,1.628E+00,-1.314E+02,6.519E+00,2.842E-01,1.147E+01
7.607E-01,1.630E+00,-1.317E+02,6.538E+00,2.848E-01,1.148E+01
7.576E-01,1.636E+00,-1.328E+02,6.617E+00,2.870E-01,1.153E+01
7.561E-01,1.640E+00,-1.333E+02,6.657E+00,2.882E-01,1.155E+01
7.519E-01,1.649E+00,-1.348E+02,6.768E+00,2.913E-01,1.162E+01
7.515E-01,1.650E+00,-1.350E+02,6.778E+00,2.916E-01,1.162E+01
7.481E-01,1.657E+00,-1.363E+02,6.871E+00,2.942E-01,1.168E+01
7.470E-01,1.660E+00,-1.367E+02,6.901E+00,2.951E-01,1.169E+01
7.443E-01,1.666E+00,-1.377E+02,6.977E+00,2.972E-01,1.174E+01
7.425E-01,1.670E+00,-1.383E+02,7.025E+00,2.985E-01,1.177E+01
7.385E-01,1.679E+00,-1.399E+02,7.139E+00,3.017E-01,1.183E+01
7.381E-01,1.680E+00,-1.400E+02,7.151E+00,3.020E-01,1.184E+01
7.347E-01,1.688E+00,-1.414E+02,7.250E+00,3.048E-01,1.189E+01
7.337E-01,1.690E+00,-1.418E+02,7.278E+00,3.056E-01,1.191E+01
7.309E-01,1.696E+00,-1.429E+02,7.363E+00,3.079E-01,1.196E+01
7.294E-01,1.700E+00,-1.434E+02,7.406E+00,3.091E-01,1.198E+01
7.270E-01,1.705E+00,-1.444E+02,7.479E+00,3.111E-01,1.202E+01
7.252E-01,1.710E+00,-1.452E+02,7.537E+00,3.127E-01,1.205E+01
7.213E-01,1.719E+00,-1.468E+02,7.657E+00,3.159E-01,1.212E+01
7.209E-01,1.720E+00,-1.469E+02,7.669E+00,3.162E-01,1.213E+01
7.175E-01,1.728E+00,-1.483E+02,7.779E+00,3.192E-01,1.218E+01
7.168E-01,1.730E+00,-1.487E+02,7.802E+00,3.198E-01,1.220E+01
7.136E-01,1.737E+00,-1.500E+02,7.904E+00,3.226E-01,1.225E+01
7.126E-01,1.740E+00,-1.504E+02,7.936E+00,3.235E-01,1.227E+01
7.098E-01,1.747E+00,-1.516E+02,8.031E+00,3.260E-01,1.232E+01
7.086E-01,1.750E+00,-1.522E+02,8.073E+00,3.271E-01,1.234E+01
7.060E-01,1.756E+00,-1.533E+02,8.161E+00,3.295E-01,1.239E+01
7.046E-01,1.760E+00,-1.539E+02,8.211E+00,3.308E-01,1.241E+01
7.022E-01,1.766E+00,-1.550E+02,8.295E+00,3.330E-01,1.246E+01
7.006E-01,1.770E+00,-1.557E+02,8.351E+00,3.345E-01,1.248E+01
6.983E-01,1.775E+00,-1.567E+02,8.430E+00,3.366E-01,1.252E+01
6.966E-01,1.780E+00,-1.575E+02,8.491E+00,3.382E-01,1.256E+01
6.945E-01,1.785E+00,-1.585E+02,8.569E+00,3.402E-01,1.259E+01
6.927E-01,1.790E+00,-1.593E+02,8.634E+00,3.419E-01,1.263E+01
6.907E-01,1.795E+00,-1.603E+02,8.711E+00,3.439E-01,1.267E+01
6.889E-01,1.800E+00,-1.611E+02,8.779E+00,3.457E-01,1.270E+01
6.869E-01,1.805E+00,-1.621E+02,8.856E+00,3.477E-01,1.274E+01
6.851E-01,1.810E+00,-1.630E+02,8.924E+00,3.494E-01,1.277E+01
6.830E-01,1.815E+00,-1.639E+02,9.004E+00,3.515E-01,1.281E+01
6.813E-01,1.820E+00,-1.648E+02,9.072E+00,3.532E-01,1.284E+01
6.792E-01,1.825E+00,-1.658E+02,9.157E+00,3.554E-01,1.288E+01
6.776E-01,1.830E+00,-1.666E+02,9.222E+00,3.570E-01,1.291E+01
6.754E-01,1.836E+00,-1.678E+02,9.312E+00,3.593E-01,1.296E+01
6.739E-01,1.840E+00,-1.685E+02,9.372E+00,3.609E-01,1.299E+01
6.716E-01,1.846E+00,-1.697E+02,9.471E+00,3.634E-01,1.303E+01
6.703E-01,1.850E+00,-1.704E+02,9.525E+00,3.647E-01,1.306E+01
6.677E-01,1.857E+00,-1.717E+02,9.633E+00,3.675E-01,1.311E+01
6.667E-01,1.860E+00,-1.722E+02,9.679E+00,3.686E-01,1.313E+01
6.639E-01,1.868E+00,-1.737E+02,9.799E+00,3.716E-01,1.318E+01
6.631E-01,1.870E+00,-1.741E+02,9.834E+00,3.725E-01,1.320E+01
6.601E-01,1.878E+00,-1.757E+02,9.970E+00,3.759E-01,1.326E+01
6.596E-01,1.880E+00,-1.760E+02,9.992E+00,3.764E-01,1.327E+01
6.562E-01,1.889E+00,-1.778E+02,1.014E+01,3.802E-01,1.334E+01
6.561E-01,1.890E+00,-1.779E+02,1.015E+01,3.804E-01,1.334E+01
6.543E-01,1.895E+00,-1.789E+02,1.023E+01,3.824E-01,1.338E+01
6.526E-01,1.900E+00,-1.798E+02,1.031E+01,3.843E-01,1.342E+01
6.505E-01,1.906E+00,-1.810E+02,1.041E+01,3.868E-01,1.346E+01
6.492E-01,1.910E+00,-1.817E+02,1.047E+01,3.883E-01,1.349E+01
6.467E-01,1.917E+00,-1.832E+02,1.060E+01,3.913E-01,1.354E+01
6.458E-01,1.920E+00,-1.837E+02,1.064E+01,3.923E-01,1.356E+01
6.429E-01,1.929E+00,-1.854E+02,1.079E+01,3.959E-01,1.362E+01
6.425E-01,1.930E+00,-1.856E+02,1.080E+01,3.964E-01,1.363E+01
6.409E-01,1.934E+00,-1.865E+02,1.088E+01,3.982E-01,1.366E+01
6.392E-01,1.940E+00,-1.876E+02,1.097E+01,4.004E-01,1.370E+01
6.371E-01,1.946E+00,-1.888E+02,1.108E+01,4.030E-01,1.375E+01
6.359E-01,1.950E+00,-1.895E+02,1.114E+01,4.045E-01,1.377E+01
6.333E-01,1.958E+00,-1.911E+02,1.128E+01,4.078E-01,1.383E+01
6.327E-01,1.960E+00,-1.915E+02,1.131E+01,4.086E-01,1.384E+01
6.295E-01,1.970E+00,-1.935E+02,1.148E+01,4.127E-01,1.392E+01
6.294E-01,1.970E+00,-1.935E+02,1.149E+01,4.127E-01,1.392E+01
6.275E-01,1.976E+00,-1.947E+02,1.159E+01,4.151E-01,1.396E+01
6.263E-01,1.980E+00,-1.955E+02,1.166E+01,4.168E-01,1.399E+01
6.237E-01,1.988E+00,-1.971E+02,1.180E+01,4.202E-01,1.405E+01
6.231E-01,1.990E+00,-1.975E+02,1.184E+01,4.210E-01,1.406E+01
6.218E-01,1.994E+00,-1.983E+02,1.191E+01,4.227E-01,1.409E+01
6.200E-01,2.000E+00,-1.995E+02,1.201E+01,4.251E-01,1.413E+01
6.180E-01,2.006E+00,-2.008E+02,1.213E+01,4.279E-01,1.418E+01
6.142E-01,2.019E+00,-2.034E+02,1.236E+01,4.331E-01,1.427E+01
6.122E-01,2.025E+00,-2.046E+02,1.247E+01,4.358E-01,1.431E+01
6.084E-01,2.038E+00,-2.073E+02,1.271E+01,4.412E-01,1.440E+01
6.065E-01,2.044E+00,-2.086E+02,1.283E+01,4.440E-01,1.445E+01
6.027E-01,2.057E+00,-2.112E+02,1.307E+01,4.495E-01,1.454E+01
6.008E-01,2.064E+00,-2.126E+02,1.320E+01,4.524E-01,1.459E+01
5.969E-01,2.077E+00,-2.154E+02,1.345E+01,4.581E-01,1.468E+01
5.950E-01,2.084E+00,-2.168E+02,1.358E+01,4.610E-01,1.473E+01
5.912E-01,2.097E+00,-2.196E+02,1.385E+01,4.669E-01,1.483E+01
5.893E-01,2.104E+00,-2.210E+02,1.398E+01,4.699E-01,1.488E+01
5.855E-01,2.118E+00,-2.240E+02,1.425E+01,4.760E-01,1.497E+01
5.835E-01,2.125E+00,-2.255E+02,1.439E+01,4.791E-01,1.502E+01
5.797E-01,2.139E+00,-2.285E+02,1.468E+01,4.853E-01,1.512E+01
5.778E-01,2.146E+00,-2.300E+02,1.482E+01,4.885E-01,1.517E+01
5.759E-01,2.153E+00,-2.316E+02,1.497E+01,4.917E-01,1.523E+01
5.721E-01,2.167E+00,-2.347E+02,1.527E+01,4.982E-01,1.533E+01
5.702E-01,2.175E+00,-2.363E+02,1.543E+01,5.015E-01,1.538E+01
5.663E-01,2.189E+00,-2.395E+02,1.574E+01,5.082E-01,1.548E+01
5.644E-01,2.197E+00,-2.411E+02,1.590E+01,5.116E-01,1.554E+01
5.625E-01,2.204E+00,-2.428E+02,1.606E+01,5.151E-01,1.559E+01
