Energy (eV),Wavelength (um),ep1,ep2,n,k
5.587E-01,2.219E+00,-2.462E+02,1.639E+01,5.221E-01,1.570E+01
5.568E-01,2.227E+00,-2.479E+02,1.656E+01,5.256E-01,1.575E+01
5.548E-01,2.235E+00,-2.496E+02,1.673E+01,5.292E-01,1.581E+01
5.529E-01,2.242E+00,-2.514E+02,1.690E+01,5.328E-01,1.586E+01
5.491E-01,2.258E+00,-2.549E+02,1.726E+01,5.402E-01,1.597E+01
5.472E-01,2.266E+00,-2.567E+02,1.744E+01,5.439E-01,1.603E+01
5.453E-01,2.274E+00,-2.585E+02,1.762E+01,5.477E-01,1.609E+01
5.434E-01,2.282E+00,-2.603E+02,1.781E+01,5.515E-01,1.614E+01
5.395E-01,2.298E+00,-2.641E+02,1.819E+01,5.593E-01,1.626E+01
5.376E-01,2.306E+00,-2.660E+02,1.838E+01,5.632E-01,1.632E+01
5.357E-01,2.314E+00,-2.679E+02,1.858E+01,5.672E-01,1.638E+01
5.338E-01,2.323E+00,-2.698E+02,1.878E+01,5.712E-01,1.644E+01
5.300E-01,2.339E+00,-2.737E+02,1.918E+01,5.794E-01,1.656E+01
5.281E-01,2.348E+00,-2.758E+02,1.939E+01,5.835E-01,1.662E+01
5.261E-01,2.356E+00,-2.778E+02,1.960E+01,5.877E-01,1.668E+01
5.242E-01,2.365E+00,-2.798E+02,1.982E+01,5.920E-01,1.674E+01
5.223E-01,2.374E+00,-2.819E+02,2.004E+01,5.963E-01,1.680E+01
5.204E-01,2.382E+00,-2.840E+02,2.026E+01,6.006E-01,1.686E+01
5.185E-01,2.391E+00,-2.861E+02,2.048E+01,6.050E-01,1.692E+01
5.147E-01,2.409E+00,-2.904E+02,2.094E+01,6.139E-01,1.705E+01
5.128E-01,2.418E+00,-2.925E+02,2.117E+01,6.185E-01,1.712E+01
5.108E-01,2.427E+00,-2.947E+02,2.141E+01,6.231E-01,1.718E+01
5.089E-01,2.436E+00,-2.970E+02,2.165E+01,6.277E-01,1.724E+01
5.070E-01,2.445E+00,-2.992E+02,2.189E+01,6.324E-01,1.731E+01
5.051E-01,2.455E+00,-3.015E+02,2.214E+01,6.372E-01,1.738E+01
5.032E-01,2.464E+00,-3.038E+02,2.239E+01,6.420E-01,1.744E+01
5.013E-01,2.473E+00,-3.061E+02,2.265E+01,6.468E-01,1.751E+01
4.994E-01,2.483E+00,-3.085E+02,2.291E+01,6.517E-01,1.758E+01
4.974E-01,2.492E+00,-3.109E+02,2.317E+01,6.567E-01,1.765E+01
4.955E-01,2.502E+00,-3.133E+02,2.344E+01,6.617E-01,1.771E+01
4.936E-01,2.512E+00,-3.158E+02,2.371E+01,6.668E-01,1.778E+01
4.917E-01,2.522E+00,-3.182E+02,2.399E+01,6.720E-01,1.785E+01
4.898E-01,2.531E+00,-3.207E+02,2.427E+01,6.772E-01,1.792E+01
4.879E-01,2.541E+00,-3.232E+02,2.456E+01,6.824E-01,1.799E+01
4.860E-01,2.551E+00,-3.258E+02,2.485E+01,6.878E-01,1.806E+01
4.841E-01,2.561E+00,-3.284E+02,2.514E+01,6.931E-01,1.814E+01
4.821E-01,2.572E+00,-3.310E+02,2.544E+01,6.986E-01,1.821E+01
4.802E-01,2.582E+00,-3.337E+02,2.574E+01,7.041E-01,1.828E+01
4.783E-01,2.592E+00,-3.364E+02,2.605E+01,7.097E-01,1.835E+01
4.764E-01,2.603E+00,-3.391E+02,2.637E+01,7.154E-01,1.843E+01
4.745E-01,2.613E+00,-3.418E+02,2.668E+01,7.211E-01,1.850E+01
4.726E-01,2.624E+00,-3.446E+02,2.701E+01,7.269E-01,1.858E+01
4.707E-01,2.634E+00,-3.474E+02,2.734E+01,7.327E-01,1.865E+01
4.687E-01,2.645E+00,-3.503E+02,2.767E+01,7.387E-01,1.873E+01
4.668E-01,2.656E+00,-3.531E+02,2.801E+01,7.447E-01,1.881E+01
4.649E-01,2.667E+00,-3.561E+02,2.836E+01,7.508E-01,1.889E+01
4.630E-01,2.678E+00,-3.590E+02,2.871E+01,7.569E-01,1.896E+01
4.611E-01,2.689E+00,-3.620E+02,2.906E+01,7.631E-01,1.904E+01
4.592E-01,2.700E+00,-3.650E+02,2.943E+01,7.695E-01,1.912E+01
4.573E-01,2.711E+00,-3.681E+02,2.980E+01,7.758E-01,1.920E+01
4.554E-01,2.723E+00,-3.712E+02,3.017E+01,7.823E-01,1.928E+01
4.534E-01,2.734E+00,-3.743E+02,3.055E+01,7.889E-01,1.936E+01
4.515E-01,2.746E+00,-3.775E+02,3.094E+01,7.955E-01,1.945E+01
4.496E-01,2.758E+00,-3.807E+02,3.133E+01,8.022E-01,1.953E+01
4.477E-01,2.769E+00,-3.840E+02,3.173E+01,8.090E-01,1.961E+01
4.458E-01,2.781E+00,-3.873E+02,3.214E+01,8.159E-01,1.970E+01
4.439E-01,2.793E+00,-3.907E+02,3.256E+01,8.229E-01,1.978E+01
4.420E-01,2.805E+00,-3.940E+02,3.298E+01,8.300E-01,1.987E+01
4.401E-01,2.817E+00,-3.975E+02,3.341E+01,8.371E-01,1.996E+01
4.381E-01,2.830E+00,-4.010E+02,3.385E+01,8.444E-01,2.004E+01
4.362E-01,2.842E+00,-4.045E+02,3.429E+01,8.517E-01,2.013E+01
4.343E-01,2.855E+00,-4.081E+02,3.474E+01,8.592E-01,2.022E+01
4.324E-01,2.867E+00,-4.117E+02,3.520E+01,8.667E-01,2.031E+01
4.305E-01,2.880E+00,-4.154E+02,3.567E+01,8.744E-01,2.040E+01
4.286E-01,2.893E+00,-4.191E+02,3.615E+01,8.821E-01,2.049E+01
4.267E-01,2.906E+00,-4.228E+02,3.664E+01,8.900E-01,2.058E+01
4.247E-01,2.919E+00,-4.266E+02,3.713E+01,8.979E-01,2.068E+01
4.228E-01,2.932E+00,-4.305E+02,3.763E+01,9.060E-01,2.077E+01
4.209E-01,2.946E+00,-4.344E+02,3.815E+01,9.142E-01,2.086E+01
4.190E-01,2.959E+00,-4.384E+02,3.867E+01,9.225E-01,2.096E+01
4.171E-01,2.973E+00,-4.424E+02,3.920E+01,9.309E-01,2.106E+01
4.152E-01,2.986E+00,-4.465E+02,3.974E+01,9.394E-01,2.115E+01
4.133E-01,3.000E+00,-4.507E+02,4.029E+01,9.480E-01,2.125E+01
4.114E-01,3.014E+00,-4.549E+02,4.085E+01,9.568E-01,2.135E+01
4.094E-01,3.028E+00,-4.591E+02,4.143E+01,9.657E-01,2.145E+01
4.075E-01,3.042E+00,-4.635E+02,4.201E+01,9.747E-01,2.155E+01
4.056E-01,3.057E+00,-4.678E+02,4.260E+01,9.838E-01,2.165E+01
4.037E-01,3.071E+00,-4.723E+02,4.321E+01,9.931E-01,2.175E+01
4.018E-01,3.086E+00,-4.767E+02,4.382E+01,1.003E+00,2.186E+01
3.999E-01,3.101E+00,-4.813E+02,4.445E+01,1.012E+00,2.196E+01
3.980E-01,3.116E+00,-4.860E+02,4.509E+01,1.022E+00,2.207E+01
3.960E-01,3.131E+00,-4.906E+02,4.574E+01,1.031E+00,2.217E+01
3.941E-01,3.146E+00,-4.954E+02,4.641E+01,1.041E+00,2.228E+01
3.922E-01,3.161E+00,-5.002E+02,4.709E+01,1.052E+00,2.239E+01
3.903E-01,3.177E+00,-5.051E+02,4.778E+01,1.062E+00,2.250E+01
3.884E-01,3.192E+00,-5.101E+02,4.848E+01,1.072E+00,2.261E+01
3.865E-01,3.208E+00,-5.151E+02,4.920E+01,1.083E+00,2.272E+01
3.846E-01,3.224E+00,-5.202E+02,4.993E+01,1.093E+00,2.284E+01
3.827E-01,3.240E+00,-5.254E+02,5.068E+01,1.104E+00,2.295E+01
3.807E-01,3.256E+00,-5.308E+02,5.144E+01,1.115E+00,2.307E+01
3.788E-01,3.273E+00,-5.361E+02,5.222E+01,1.126E+00,2.318E+01
3.769E-01,3.289E+00,-5.415E+02,5.302E+01,1.138E+00,2.330E+01
3.750E-01,3.306E+00,-5.470E+02,5.383E+01,1.149E+00,2.342E+01
3.731E-01,3.323E+00,-5.526E+02,5.465E+01,1.161E+00,2.354E+01
3.712E-01,3.340E+00,-5.583E+02,5.550E+01,1.173E+00,2.366E+01
3.693E-01,3.358E+00,-5.641E+02,5.636E+01,1.185E+00,2.378E+01
3.673E-01,3.375E+00,-5.700E+02,5.724E+01,1.197E+00,2.390E+01
3.654E-01,3.393E+00,-5.759E+02,5.814E+01,1.210E+00,2.403E+01
3.635E-01,3.411E+00,-5.820E+02,5.905E+01,1.222E+00,2.416E+01
3.616E-01,3.429E+00,-5.881E+02,5.998E+01,1.235E+00,2.428E+01
3.597E-01,3.447E+00,-5.943E+02,6.094E+01,1.248E+00,2.441E+01
3.578E-01,3.465E+00,-6.007E+02,6.192E+01,1.262E+00,2.454E+01
3.559E-01,3.484E+00,-6.071E+02,6.291E+01,1.275E+00,2.467E+01
3.540E-01,3.503E+00,-6.137E+02,6.393E+01,1.289E+00,2.481E+01
3.520E-01,3.522E+00,-6.203E+02,6.497E+01,1.303E+00,2.494E+01
3.501E-01,3.541E+00,-6.271E+02,6.604E+01,1.317E+00,2.508E+01
3.482E-01,3.561E+00,-6.339E+02,6.712E+01,1.331E+00,2.521E+01
3.463E-01,3.580E+00,-6.409E+02,6.823E+01,1.346E+00,2.535E+01
3.444E-01,3.600E+00,-6.480E+02,6.936E+01,1.361E+00,2.549E+01
3.425E-01,3.620E+00,-6.552E+02,7.052E+01,1.376E+00,2.563E+01
3.406E-01,3.641E+00,-6.625E+02,7.171E+01,1.391E+00,2.578E+01
3.386E-01,3.661E+00,-6.700E+02,7.292E+01,1.407E+00,2.592E+01
3.367E-01,3.682E+00,-6.776E+02,7.416E+01,1.422E+00,2.607E+01
3.348E-01,3.703E+00,-6.853E+02,7.543E+01,1.439E+00,2.622E+01
3.329E-01,3.724E+00,-6.931E+02,7.672E+01,1.455E+00,2.637E+01
3.310E-01,3.746E+00,-7.011E+02,7.805E+01,1.472E+00,2.652E+01
3.291E-01,3.768E+00,-7.092E+02,7.941E+01,1.489E+00,2.667E+01
3.272E-01,3.790E+00,-7.174E+02,8.080E+01,1.506E+00,2.683E+01
3.253E-01,3.812E+00,-7.258E+02,8.222E+01,1.524E+00,2.698E+01
3.233E-01,3.834E+00,-7.344E+02,8.368E+01,1.541E+00,2.714E+01
3.214E-01,3.857E+00,-7.431E+02,8.517E+01,1.560E+00,2.730E+01
3.195E-01,3.880E+00,-7.519E+02,8.669E+01,1.578E+00,2.747E+01
3.176E-01,3.904E+00,-7.609E+02,8.825E+01,1.597E+00,2.763E+01
3.157E-01,3.927E+00,-7.701E+02,8.985E+01,1.616E+00,2.780E+01
3.138E-01,3.951E+00,-7.794E+02,9.149E+01,1.636E+00,2.797E+01
3.119E-01,3.976E+00,-7.889E+02,9.317E+01,1.656E+00,2.814E+01
3.100E-01,4.000E+00,-7.986E+02,9.489E+01,1.676E+00,2.831E+01
3.080E-01,4.025E+00,-8.084E+02,9.665E+01,1.697E+00,2.848E+01
3.061E-01,4.050E+00,-8.184E+02,9.845E+01,1.718E+00,2.866E+01
3.042E-01,4.076E+00,-8.287E+02,1.003E+02,1.739E+00,2.884E+01
3.023E-01,4.101E+00,-8.391E+02,1.022E+02,1.761E+00,2.902E+01
3.004E-01,4.128E+00,-8.497E+02,1.042E+02,1.783E+00,2.920E+01
2.985E-01,4.154E+00,-8.605E+02,1.061E+02,1.806E+00,2.939E+01
2.966E-01,4.181E+00,-8.715E+02,1.082E+02,1.829E+00,2.958E+01
2.946E-01,4.208E+00,-8.827E+02,1.103E+02,1.853E+00,2.977E+01
2.927E-01,4.235E+00,-8.941E+02,1.124E+02,1.877E+00,2.996E+01
2.908E-01,4.263E+00,-9.058E+02,1.147E+02,1.901E+00,3.016E+01
2.889E-01,4.292E+00,-9.177E+02,1.169E+02,1.926E+00,3.035E+01
2.870E-01,4.320E+00,-9.298E+02,1.193E+02,1.951E+00,3.056E+01
2.851E-01,4.349E+00,-9.421E+02,1.216E+02,1.977E+00,3.076E+01
2.832E-01,4.379E+00,-9.548E+02,1.241E+02,2.004E+00,3.096E+01
2.813E-01,4.408E+00,-9.676E+02,1.266E+02,2.031E+00,3.117E+01
2.793E-01,4.439E+00,-9.807E+02,1.292E+02,2.059E+00,3.138E+01
2.774E-01,4.469E+00,-9.941E+02,1.319E+02,2.087E+00,3.160E+01
2.755E-01,4.500E+00,-1.008E+03,1.346E+02,2.115E+00,3.182E+01
2.736E-01,4.532E+00,-1.022E+03,1.374E+02,2.145E+00,3.204E+01
2.717E-01,4.564E+00,-1.036E+03,1.403E+02,2.175E+00,3.226E+01
2.698E-01,4.596E+00,-1.050E+03,1.433E+02,2.205E+00,3.249E+01
2.679E-01,4.629E+00,-1.065E+03,1.463E+02,2.236E+00,3.272E+01
2.659E-01,4.662E+00,-1.080E+03,1.495E+02,2.268E+00,3.295E+01
2.640E-01,4.696E+00,-1.096E+03,1.527E+02,2.301E+00,3.318E+01
2.621E-01,4.730E+00,-1.112E+03,1.560E+02,2.334E+00,3.342E+01
2.602E-01,4.765E+00,-1.128E+03,1.594E+02,2.368E+00,3.367E+01
2.583E-01,4.800E+00,-1.144E+03,1.630E+02,2.403E+00,3.391E+01
2.564E-01,4.836E+00,-1.161E+03,1.666E+02,2.438E+00,3.416E+01
2.545E-01,4.872E+00,-1.178E+03,1.703E+02,2.474E+00,3.442E+01
2.526E-01,4.909E+00,-1.196E+03,1.742E+02,2.512E+00,3.467E+01
2.506E-01,4.947E+00,-1.214E+03,1.781E+02,2.550E+00,3.493E+01
2.487E-01,4.985E+00,-1.232E+03,1.822E+02,2.588E+00,3.520E+01
2.468E-01,5.023E+00,-1.251E+03,1.864E+02,2.628E+00,3.547E+01
2.449E-01,5.063E+00,-1.270E+03,1.908E+02,2.669E+00,3.574E+01
2.430E-01,5.103E+00,-1.290E+03,1.952E+02,2.710E+00,3.602E+01
2.411E-01,5.143E+00,-1.310E+03,1.998E+02,2.753E+00,3.630E+01
2.392E-01,5.184E+00,-1.331E+03,2.046E+02,2.796E+00,3.659E+01
2.372E-01,5.226E+00,-1.352E+03,2.095E+02,2.841E+00,3.688E+01
2.353E-01,5.269E+00,-1.373E+03,2.146E+02,2.886E+00,3.717E+01
2.334E-01,5.312E+00,-1.396E+03,2.198E+02,2.933E+00,3.747E+01
2.315E-01,5.356E+00,-1.418E+03,2.252E+02,2.981E+00,3.778E+01
2.296E-01,5.400E+00,-1.441E+03,2.308E+02,3.030E+00,3.809E+01
2.277E-01,5.446E+00,-1.465E+03,2.366E+02,3.080E+00,3.840E+01
2.258E-01,5.492E+00,-1.489E+03,2.425E+02,3.132E+00,3.872E+01
2.239E-01,5.539E+00,-1.514E+03,2.487E+02,3.185E+00,3.905E+01
2.219E-01,5.586E+00,-1.540E+03,2.551E+02,3.239E+00,3.938E+01
2.200E-01,5.635E+00,-1.566E+03,2.617E+02,3.294E+00,3.971E+01
2.181E-01,5.684E+00,-1.593E+03,2.685E+02,3.351E+00,4.005E+01
2.162E-01,5.735E+00,-1.621E+03,2.755E+02,3.410E+00,4.040E+01
2.143E-01,5.786E+00,-1.649E+03,2.828E+02,3.470E+00,4.076E+01
2.124E-01,5.838E+00,-1.678E+03,2.904E+02,3.532E+00,4.112E+01
2.105E-01,5.891E+00,-1.708E+03,2.982E+02,3.595E+00,4.148E+01
2.085E-01,5.945E+00,-1.738E+03,3.063E+02,3.660E+00,4.185E+01
2.066E-01,6.000E+00,-1.770E+03,3.148E+02,3.726E+00,4.223E+01
2.047E-01,6.056E+00,-1.802E+03,3.235E+02,3.795E+00,4.262E+01
2.028E-01,6.114E+00,-1.835E+03,3.325E+02,3.865E+00,4.301E+01
2.009E-01,6.172E+00,-1.869E+03,3.419E+02,3.938E+00,4.341E+01
1.990E-01,6.231E+00,-1.904E+03,3.516E+02,4.012E+00,4.382E+01
1.971E-01,6.292E+00,-1.940E+03,3.618E+02,4.089E+00,4.424E+01
1.952E-01,6.353E+00,-1.977E+03,3.723E+02,4.168E+00,4.466E+01
1.932E-01,6.416E+00,-2.015E+03,3.832E+02,4.249E+00,4.509E+01
1.913E-01,6.480E+00,-2.054E+03,3.945E+02,4.332E+00,4.553E+01
1.894E-01,6.546E+00,-2.095E+03,4.063E+02,4.418E+00,4.598E+01
1.875E-01,6.612E+00,-2.136E+03,4.185E+02,4.507E+00,4.644E+01
1.856E-01,6.681E+00,-2.179E+03,4.313E+02,4.598E+00,4.690E+01
1.837E-01,6.750E+00,-2.223E+03,4.445E+02,4.692E+00,4.738E+01
1.818E-01,6.821E+00,-2.268E+03,4.584E+02,4.788E+00,4.786E+01
1.798E-01,6.894E+00,-2.315E+03,4.728E+02,4.888E+00,4.836E+01
1.779E-01,6.968E+00,-2.363E+03,4.878E+02,4.991E+00,4.886E+01
1.760E-01,7.044E+00,-2.412E+03,5.034E+02,5.097E+00,4.938E+01
1.741E-01,7.121E+00,-2.463E+03,5.197E+02,5.207E+00,4.990E+01
1.722E-01,7.200E+00,-2.516E+03,5.367E+02,5.320E+00,5.044E+01
1.703E-01,7.281E+00,-2.570E+03,5.544E+02,5.437E+00,5.099E+01
1.684E-01,7.364E+00,-2.626E+03,5.730E+02,5.557E+00,5.155E+01
1.665E-01,7.449E+00,-2.684E+03,5.923E+02,5.682E+00,5.212E+01
1.645E-01,7.535E+00,-2.744E+03,6.126E+02,5.811E+00,5.271E+01
1.626E-01,7.624E+00,-2.806E+03,6.337E+02,5.944E+00,5.331E+01
1.607E-01,7.715E+00,-2.870E+03,6.559E+02,6.082E+00,5.392E+01
1.588E-01,7.808E+00,-2.936E+03,6.790E+02,6.225E+00,5.454E+01
1.569E-01,7.903E+00,-3.005E+03,7.033E+02,6.373E+00,5.518E+01
1.550E-01,8.001E+00,-3.075E+03,7.288E+02,6.526E+00,5.584E+01
1.531E-01,8.100E+00,-3.149E+03,7.554E+02,6.684E+00,5.651E+01
1.512E-01,8.203E+00,-3.224E+03,7.834E+02,6.848E+00,5.720E+01
1.492E-01,8.308E+00,-3.303E+03,8.127E+02,7.019E+00,5.790E+01
1.473E-01,8.416E+00,-3.384E+03,8.435E+02,7.195E+00,5.862E+01
1.454E-01,8.527E+00,-3.469E+03,8.759E+02,7.379E+00,5.936E+01
1.435E-01,8.641E+00,-3.556E+03,9.100E+02,7.569E+00,6.011E+01
1.416E-01,8.757E+00,-3.647E+03,9.458E+02,7.767E+00,6.089E+01
1.397E-01,8.877E+00,-3.741E+03,9.835E+02,7.972E+00,6.168E+01
1.378E-01,9.001E+00,-3.839E+03,1.023E+03,8.186E+00,6.250E+01
1.358E-01,9.127E+00,-3.940E+03,1.065E+03,8.408E+00,6.333E+01
1.339E-01,9.257E+00,-4.046E+03,1.109E+03,8.639E+00,6.419E+01
1.320E-01,9.392E+00,-4.156E+03,1.156E+03,8.880E+00,6.507E+01
1.301E-01,9.530E+00,-4.270E+03,1.205E+03,9.131E+00,6.598E+01
1.282E-01,9.672E+00,-4.389E+03,1.257E+03,9.393E+00,6.691E+01
1.263E-01,9.819E+00,-4.512E+03,1.312E+03,9.665E+00,6.787E+01
1.244E-01,9.970E+00,-4.641E+03,1.370E+03,9.950E+00,6.885E+01
1.225E-01,1.013E+01,-4.775E+03,1.432E+03,1.025E+01,6.986E+01
1.205E-01,1.029E+01,-4.915E+03,1.497E+03,1.056E+01,7.090E+01
1.186E-01,1.045E+01,-5.061E+03,1.566E+03,1.088E+01,7.197E+01
1.167E-01,1.062E+01,-5.213E+03,1.640E+03,1.122E+01,7.307E+01
1.148E-01,1.080E+01,-5.373E+03,1.718E+03,1.158E+01,7.421E+01
1.129E-01,1.098E+01,-5.539E+03,1.801E+03,1.195E+01,7.538E+01
1.110E-01,1.117E+01,-5.713E+03,1.890E+03,1.234E+01,7.658E+01
1.091E-01,1.137E+01,-5.894E+03,1.984E+03,1.275E+01,7.783E+01
1.071E-01,1.157E+01,-6.084E+03,2.084E+03,1.318E+01,7.911E+01
1.052E-01,1.178E+01,-6.284E+03,2.192E+03,1.363E+01,8.043E+01
1.033E-01,1.200E+01,-6.492E+03,2.306E+03,1.410E+01,8.180E+01
1.014E-01,1.223E+01,-6.711E+03,2.429E+03,1.460E+01,8.321E+01
9.949E-02,1.246E+01,-6.941E+03,2.560E+03,1.512E+01,8.467E+01
9.758E-02,1.271E+01,-7.182E+03,2.701E+03,1.567E+01,8.618E+01
9.566E-02,1.296E+01,-7.434E+03,2.852E+03,1.625E+01,8.774E+01
9.375E-02,1.323E+01,-7.701E+03,3.015E+03,1.687E+01,8.936E+01
9.184E-02,1.350E+01,-7.980E+03,3.189E+03,1.752E+01,9.103E+01
8.992E-02,1.379E+01,-8.274E+03,3.377E+03,1.820E+01,9.277E+01
8.801E-02,1.409E+01,-8.584E+03,3.580E+03,1.893E+01,9.457E+01
8.610E-02,1.440E+01,-8.911E+03,3.798E+03,1.970E+01,9.643E+01
8.418E-02,1.473E+01,-9.255E+03,4.035E+03,2.051E+01,9.837E+01
8.227E-02,1.507E+01,-9.619E+03,4.291E+03,2.137E+01,1.004E+02
8.036E-02,1.543E+01,-1.000E+04,4.568E+03,2.229E+01,1.025E+02
7.844E-02,1.581E+01,-1.041E+04,4.869E+03,2.327E+01,1.046E+02
7.653E-02,1.620E+01,-1.084E+04,5.196E+03,2.431E+01,1.069E+02
7.462E-02,1.662E+01,-1.129E+04,5.552E+03,2.541E+01,1.093E+02
7.270E-02,1.705E+01,-1.177E+04,5.941E+03,2.659E+01,1.117E+02
7.079E-02,1.751E+01,-1.228E+04,6.364E+03,2.785E+01,1.143E+02
6.888E-02,1.800E+01,-1.282E+04,6.829E+03,2.920E+01,1.169E+02
6.696E-02,1.852E+01,-1.339E+04,7.337E+03,3.065E+01,1.197E+02
6.505E-02,1.906E+01,-1.399E+04,7.894E+03,3.220E+01,1.226E+02
6.314E-02,1.964E+01,-1.464E+04,8.508E+03,3.386E+01,1.256E+02
6.122E-02,2.025E+01,-1.532E+04,9.183E+03,3.565E+01,1.288E+02
5.931E-02,2.090E+01,-1.605E+04,9.930E+03,3.757E+01,1.321E+02
5.740E-02,2.160E+01,-1.682E+04,1.075E+04,3.965E+01,1.356E+02
5.548E-02,2.235E+01,-1.764E+04,1.167E+04,4.189E+01,1.393E+02
5.357E-02,2.314E+01,-1.852E+04,1.268E+04,4.431E+01,1.431E+02
5.166E-02,2.400E+01,-1.944E+04,1.381E+04,4.694E+01,1.471E+02
4.974E-02,2.492E+01,-2.043E+04,1.507E+04,4.979E+01,1.514E+02
